SCHL
KURA
ASLE
QD
PPC
STZ
DELL
FOR
BBUC
CLSK
CSTM
CPAC
FSLR
IBCP
AGO
CHTR
PRK
SMPL
GLUE
OSPN
FG
HTGC
MUR
EPAC
ANF
CMPR
SGRY
OSCR
CHDN
BAP
BCC
DUOL
DBRG
SUN
JBSS
MOFG
MMC
MTRX
OFG
CHE
BOX
DAKT
JLL
NWBI
TH
HTLD
KGC
DV
SCVL
BHB
GLPI
TCBX
GCT
HY
SAM
PRTH
ESS
CUK
ODC
BY
WRB
MCS
VZ
ZVRA
CLVT
CMP
WB
ITRG
HESM
EWBC
STRT
COTY
CPAY
HWC
GFR
PLAB
ITRN
RGA
VSTA
CDNA
IART
FTI
ACGL
IT
NBN
MS
BYD
FHI
HVT
UDMY
PLTK
SMC
AXP
MRK
ZD
RIO
GILD
CPRX
ACAD
NEM
UBER
ET
CF
TBBB
GIC
TK
ADV
AROW
KFY
SSD
BOH
BBW
GMAB
SVV
PTEN
CABO
KYIV
SHBI
NOA
CSL
SBR
LBTYK
SKYW
CARE
CRD-B
GRVY
ICLR
DDS
TWI
SLF
MOMO
LION
PAYO
COUR
DD
STNG
RHI
WLKP
DHIL
NBTB
EXEL
MARA
GETY
DHT
MLI
CRGY
CCBG
USNA
EVR
ACIW
XPRO
UBSI
TS
AD
FRME
MKL
NICE
ACI
CATY
BHC
HRMY
YETI
HOMB
DXPE
WLK
CBU
CVBF
KO
YELP
APAM
NGD
CSV
KMB
WLFC
UTHR
FBNC
WBS
CVLG
BWMX
CENTA
LNC
RRBI
GIII
AMP
ULTA
KE
BCAL
DGICA
SWKS
HLIT
RIGL
DNUT
AUNA
HBCP
OKE
NE
EXOD
DHI
HRB
BUSE
OBK
REZI
SMBC
EPD
FFIV
MNSO
NSC
DEO
AMRC
GEHC
GHC
KODK
AXS
CDE
SMCI
MFC
EAF
SMG
BLD
NLOP
ROCK
NRP
WSBC
BF-B
ONIT
MEC
WOLF
MET
GRBK
NTES
UPWK
FCBC
IFS
LYTS
ESNT
INGR
SNDL
SM
FOA
CACC
SHEL
BOW
PSO
RNR
MGY
GNTX
ZIP
AEM
BPOP
VRTS
CHA
EQT
IIIN
ARCO
TIGR
COP
ALKS
TGS
HRTG
CASH
HBM
ZM
CLMB
CLMT
CLX
CTOS
BKR
BCH
PAG
SEB
VIRT
ATHM
SYF
ALL
PSEC
PSKY
IPI
PANL
MATX
IBEX
BANR
ITUB
CARS
AOS
WKC
CCO
HIG
UAA
TBPH
VRNT
GLOB
WILC
KMPR
COF
MOV
AN
GPOR
MHO
NBHC
INCY
NTAP
FTDR
RLJ
FIBK
CVI
VLRS
RCL
OZK
VHI
STGW
MC
UA
NFG
QFIN
BTSG
BCML
TAP
BRC
SLVM
RMNI
TMHC
VIST
ALLE
TDS
TCBK
PBR-A
NBBK
NTB
WHD
FINV
EOG
QRVO
UNTY
YALA
FER
EBC
CMCL
VSCO
IAS
ZUMZ
BIIB
TROX
DOV
ATEX
CVAC
ESEA
TROW
AHL
WOW
EGBN
CRBG
TIGO
DMLP
SFD
JXN
AOSL
NEWT
CHH
CBSH
DRD
BTBT
ADMA
FIZZ
TGTX
SNDR
INSW
DNOW
NHC
BBVA
HCM
ABCB
ZEUS
ECX
INNV
THG
CHRD
AEG
CNH
WEST
PAX
CTBI
CCL
STBA
SONY
MRX
PLYM
CTRN
CWAN
CVE
XYZ
BG
COIN
TTGT
CMCSA
CASS
CXM
STRA
OPTU
AVNS
CSX
UCB
IBTA
ASIC
SD
LZB
CVGW
PHM
HUT
VLGEA
GABC
LNN
CNS
CNI
HG
KRO
URBN
ATNI
KARO
MCY
AUB
ADTN
TCOM
RYI
FUTU
LYB
IHRT
PRDO
BSM
CSIQ
CPF
RF
GLP
DVN
WOOF
CPRT
PAC
KLC
VCTR
HFWA
GGAL
AM
WGO
GEL
PINC
DJCO
SBC
TD
VVX
HCI
SFBS
ACDC
NEXA
DDL
PNFP
NMIH
LII
TNK
LXFR
JACK
SMLR
REPX
HBT
CTRA
IDT
MEOH
